#99999999 Total Budget
800A584C E0FF
800A584E 05F5
#Full Base Camp
800A592C 270F
800A592E 270F
800A5930 270F
800A5932 270F
800A5934 270F
800A5936 270F
800A5938 270F
800A593A 270F
800A593C 0000
800A5946 270F
800A5948 270F
800A594A 270F
800A594C 270F
800A594E 270F
#Perfcect Tie 1
800A5D14 270F
800A5D16 270F
800A5D18 270F
800A5D1A 270F
800A5D1C 270F
800A5D1E 270F
800A5D20 270F
800A5D22 270F
800A5D24 0000
800A5D2E 270F
800A5D30 270F
800A5D32 270F
800A5D34 270F
800A5D36 270F
#Full Members
800A66D6 270F
800A66D8 270F
800A66DA 270F
800A66E4 0800
800A66E8 6363
800A66EA 6363
800A66EC FFFF
800A66EE FFFF
800A66F0 FFFF
300A66FD 00FF
800A66FE FFFF
800A6700 FFFF
800A6702 FFFF
300A6704 00FF
800A6708 0000
800A670A 0000
800A670C 6363
300A670E 0000
300A6710 0063
#But Many Times Recruiting New Members
300A5927 0000
#Infinite Life 
D003AA10 0014
8003AA10 0000
D003AA12 A203
8003AA12 0000
#Infinite Stamina 
D003AA6C 0016
8003AA6C 0000
D003AA6E A082
8003AA6E 0000
#Infinite Stomach
D00523C4 0038
800523C4 0000
D00523C6 A202
800523C6 0000
#Not Sleepy
D00524A0 0039
800524A0 0000
D00524A2 A202
800524A2 0000
#Infinite Morale
D0052A54 003C
80052A54 0000
D0052A56 A242
80052A56 0000
D0044368 003C
80044368 0000
D004436A A202
8004436A 0000
#Not Frostbite.
D005310C 0036
8005310C 0000
D005310E A250
8005310E 0000
#Not injured
D00506E8 0035
800506E8 0000
D00506EA A224
800506EA 0000
#Survive A Highly Failure
D0052C18 0034
80052C18 0000
D0052C1A A250
80052C1A 0000
#Avoid Ill-Health
D0052ACC 0037
80052ACC 0000
D0052ACE A242
80052ACE 0000
#Infinite Set-Groomed
D00584E8 0012
800584E8 0000
D00584EA A602
800584EA 0000
#Infinite Tent
D0058860 000C
80058860 0000
D0058862 A67E
80058862 0000
#Infinite Hill-Climbing / Climbing Wall Set
D005810C 0004
8005810C 0000
D005810E A4A4
8005810E 0000
#Infinite Mobile Food 
D003692C 0004
8003692C 0000
D003692E A482
8003692E 0000
#Infinite Oxygen
D002DE58 A445
8002DE58 0000
