#Car Never Overheats
D0087204 0440
8008720A 2400
D0087228 0006
8008722E 2400
D008725C 1021
80087262 2400
#Amateur Championship GT1 Complete		
3002794C 0001
#Amateur Championship GT1 Complete		
3002794E 0001
#Amateur Championship Prototype Complete		
3002794D 0001
#Amatuer Lemans LM GT1 Winner Complete		
30027951 0001
#Amatuer Lemans LM GT2 Winner Complete		
3002794F 0001
#Amatuer Lemans	LM Prototype Winner Complete		
30027950 0001
#Amatuer Lemans	LM Winner Complete		
30027952 0001
#Arcade Challenge-Amateur Cup GT1 Complete		
3002793C 0001
#Arcade Challenge-Amateur Cup GT2 Complete		
3002793A 0001
#Arcade Challenge-Amateur Cup Prototype Complete		
3002793B 0001
#Arcade Challenge-Pro Cup GT1 Complete		
3002793F 0001
#Arcade Challenge-Pro Cup GT2 Complete		
3002793D 0001
#Arcade Challenge-Pro Cup Prototype Complete		
3002793E 0001
#Arcade Challenge-Pro Cup Reverse GT1 Complete		
30027942 0001
#Arcade Challenge-Pro Cup Reverse GT2 Complete		
30027940 0001
#Arcade Challenge-Pro Cup Reverse Prototype Complete		
30027941 0001
#Arcade Time Attack-Amateur Cup GT1 Complete		
30027945 0001
#Arcade Time Attack-Amateur Cup	GT2 Complete		
30027943 0001
#Arcade Time Attack-Amateur Cup	Proto Complete		
30027944 0001
#Arcade Time Attack-Pro Cup GT1 Complete		
30027948 0001
#Arcade Time Attack-Pro Cup GT2 Complete		
30027946 0001
#Arcade Time Attack-Pro Cup Prototype Complete		
30027947 0001
#Arcade Time Attack-Pro Cup Reverse GT1 Complete		
3002794B 0001
#Arcade Time Attack-Pro Cup Reverse GT2 Complete		
30027949 0001
#Arcade Time Attack-Pro Cup Reverse Prototype Complete		
3002794A 0001
#Pro Championship GT1 Complete		
30027955 0001
#Pro Championship GT2 Complete		
30027953 0001
#Pro Championship Prototype Complete		
30027954 0001
#Pro Lemans All Races Complete 	
50002001 0000
3002793A 0001
#Pro Lemans Amatuer Challenge GT1-Unlock All Cars		
80027ABE 002F
#Pro Lemans Amatuer Challenge GT2-Unlock All Cars		
80027ABA 000F
#Pro Lemans Amatuer Challenge Prototype-Unlock All Cars		
80027ABC 001F
#Pro Lemans Amatuer Time Attack GT1-Unlock All Cars		
80027ACA 002F
#Pro Lemans Amatuer Time Attack GT2-Unlock All Cars		
80027AC6 000F
#Pro Lemans Amatuer Time Attack Prototype-Unlock All Cars		
80027AC8 001F
#Pro Lemans Infinite Fuel		
80088736 2400
#Pro Lemans LM GT1 Winner Complete		
30027958 0001
#Pro Lemans LM GT2 Winner Complete		
30027956 0001
#Pro Lemans LM Prototype Winner Complete		
30027957 0001
#Pro Lemans LM Winner Complete		
30027959 0001
#Pro Lemans Professional Challenge GT1-Unlock All Cars		
80027AC4 002F
#Pro Lemans Professional Challenge GT2-Unlock All Cars		
80027AC0 000F
#Pro Lemans Professional Challenge Prototype-Unlock All Cars		
80027AC2 001F
#Pro Lemans Professional Time Attack GT1-Unlock All Cars		
80027AD0 002F
#Pro Lemans Professional Time Attack GT2-Unlock All Cars		
80027ACC 000F
#Pro Lemans Professional Time Attack Prototype-Unlock All Cars		
80027ACE 001F
#Pro Lemans Quick Win-Chamberlain Viper, Philippe Gache Motorsport, & JB Giesse Team (GT1)		
300281CA 0003
E0046CA4 0000
30046CA4 0003
#Pro Lemans Quick Win-Chrysler Viper Oreca, Joest Racing, & Nissan Motorsports		
300281CA 0003
E0049C34 0000
30049C34 0003
#Pro Lemans Quick Win-Cirtek, Courage Competition, & GTC Competition		
300281CA 0003
E004846C 0000
3004846C 0003
#Pro Lemans Quick Win-Konrad Motorsport, La Filier, & Panoz Motorsports (Gray Car)		
300281CA 0003
E0047888 0000
30047888 0003
