#Save Anywhere
80070652 0100
#Max Gil
80077E84 967F
80077E86 0098
#No Random Battles
80078DF8 000C
#In-Battle Codes 1st Position Infinite Health
80078892 270F
#In-Battle Codes 2nd Position Infinite Health
80078A62 270F
#In-Battle Codes 3rd Position Infinite Health
80078C32 270F
#In-Battle Codes Infinite Magic (All Characters)
800AF486 2400
#In-Battle Codes 1st Position Infinite Health Gf
80078738 270F
#In-Battle Codes 2nd Position Infinite Health Gf
80078908 270F
#In-Battle Codes 3rd Position Infinite Health Gf
80078AD8 270F
#Guardian Forces Codes\Alexander Codes\Unlock It
30077681 0001
#Guardian Forces Codes\Alexander Codes\Infinite Hp
80078DB0 270F
#Guardian Forces Codes\Alexander Codes\Max Hp
80078DB2 270F
#Guardian Forces Codes\Alexander Codes\Max Exp
80078DB4 E0FF
80078DB6 05F5
#Guardian Forces Codes\Alexander Codes\Level 99
80078DB8 0063
#Guardian Forces Codes\Bahamut Codes\Unlock It
30077709 0001
#Guardian Forces Codes\Bahamut Codes\Infinite Hp
80078DC8 270F
#Guardian Forces Codes\Bahamut Codes\Max Hp
80078DCA 270F
#Guardian Forces Codes\Bahamut Codes\Max Exp
80078DCC E0FF
80078DCE 05F5
#Guardian Forces Codes\Bahamut Codes\Level 99
80078DD0 0063
#Guardian Forces Codes\Brothers Codes\Unlock It
300774E9 0001
#Guardian Forces Codes\Brothers Codes\Infinite Hp
80078D68 270F
#Guardian Forces Codes\Brothers Codes\Max Hp
80078D6A 270F
#Guardian Forces Codes\Brothers Codes\Max Exp
80078D6C E0FF
80078D6E 05F5
#Guardian Forces Codes\Brothers Codes\Level 99
80078D70 0063
#Guardian Forces Codes\Cactuar Codes\Unlock It
3007774D 0001
#Guardian Forces Codes\Cactuar Codes\Infinite Hp
80078DD4 270F
#Guardian Forces Codes\Cactuar Codes\Max Hp
80078DD6 270F
#Guardian Forces Codes\Cactuar Codes\Max Exp
80078DD8 E0FF
80078DDA 05F5
#Guardian Forces Codes\Cactuar Codes\Level 99
80078DDC 0063
#Guardian Forces Codes\Carbuncle Codes\Unlock It
30077571 0001
#Guardian Forces Codes\Carbuncle Codes\Infinite Hp
80078D80 270F
#Guardian Forces Codes\Carbuncle Codes\Max Hp
80078D82 270F
#Guardian Forces Codes\Carbuncle Codes\Max Exp
80078D84 E0FF
80078D86 05F5
#Guardian Forces Codes\Carbuncle Codes\Level 99
80078D88 0063
#Guardian Forces Codes\Cerberus Codes\Unlock It
3007763D 0001
#Guardian Forces Codes\Cerberus Codes\Infinite Hp
80078DA4 270F
#Guardian Forces Codes\Cerberus Codes\Max Hp
80078DA6 270F
#Guardian Forces Codes\Cerberus Codes\Max Exp
80078DA8 E0FF
80078DAA 05F5
#Guardian Forces Codes\Cerberus Codes\Level 99
80078DAC 0063
#Guardian Forces Codes\Diablos Codes\Unlock It
3007752D 0001
#Guardian Forces Codes\Diablos Codes\Infinite Hp
80078D74 270F
#Guardian Forces Codes\Diablos Codes\Max Hp
80078D76 270F
#Guardian Forces Codes\Diablos Codes\Max Exp
80078D78 E0FF
80078D7A 05F5
#Guardian Forces Codes\Diablos Codes\Level 99
80078D7C 0063
#Guardian Forces Codes\Doomtrain Codes\Unlock It
300776C5 0001
#Guardian Forces Codes\Doomtrain Codes\Infinite Hp
