#Infinite Money
800573F0 FFFF
80071A5C FFFF
#All Item Shipped		
800711C4 03E7
800711C6 03E7
800711C8 03E7
800711CA 03E7
800711CC 03E7
800711CE 03E7
800711D0 03E7
800711D2 03E7
800711D4 03E7
800711D6 03E7
800711D8 03E7
800711DA 03E7
800711DC 03E7
800711DE 03E7
800711E0 03E7
800711E2 03E7
800711E4 03E7
800711E6 03E7
800711E8 03E7
800711EA 03E7
800711EC 03E7
#Chicken Feed boxs alway full	
8007130E 0101 
80071310 0101 
80071312 0101 
80071314 0101 
80071316 0101
#Cow And Sheep Feedboxs Always Full		
800712F8 0101 
800712FA 0101 
800712FC 0101 
800712FE 0101 
80071300 0101 
80071302 0101 
80071304 0101 
80071306 0101 
80071308 0101 
8007130A 0101 
8007130C 0101
#Have A Horse		
80075AD4 015F
#Have A Horse (Alt)	
8004FA88 14AF
#Have All Utensils		
30070D04 00FF
#Have Infinite Stone	
80071F5C 003A
#Infinite Lumber 
80070D38 03E7
#Infinite Medals		
80071A60 FFFF
#Red Heart Ann	
80076EF0 FFFF
#Red Heart Elli		
80077298 FFFF
#Red Heart Karen		
800767A0 FFFF
#Red Heart Mary		
80077BBC FFFF
#Red Heart Popuri		
800786B4 FFFF
