#Esp Gauge Max
800A1368 0400
#Key / Documents system all items
50003102 0000
800A0CA4 0101
#99 food items all
50001202 0000
800A0C80 6363
#Food Item All 99 (Set 1/2)
800A0C80 6363
800A0C82 6363
800A0C84 6363
800A0C86 6363
800A0C88 6363
800A0C8A 6363
800A0C8C 6363
800A0C8E 6363
800A0C90 6363
800A0C92 6363
800A0C94 6363
800A0C96 6363
800A0C98 6363
#Food Item All 99 (Set 2/2)
800A0C9A 6363
800A0C9C 6363
800A0C9E 6363
800A0CA0 6363
800A0CA2 6363
#Key / Documents System Item All (Set 1/4)
800A0CA4 0101
800A0CA6 0101
800A0CA8 0101
800A0CAA 0101
800A0CAC 0101
800A0CAE 0101
800A0CB0 0101
800A0CB2 0101
800A0CB4 0101
800A0CB6 0101
800A0CB8 0101
800A0CBA 0101
800A0CBC 0101
#Key / Documents System Item All (Set 2/4)
800A0CBE 0101
800A0CC0 0101
800A0CC2 0101
800A0CC4 0101
800A0CC6 0101
800A0CC8 0101
800A0CCA 0101
800A0CCC 0101
800A0CCE 0101
800A0CD0 0101
800A0CD2 0101
800A0CD4 0101
800A0CD6 0101
#Key / Documents System Item All (Set 3/4)
800A0CD8 0101
800A0CDA 0101
800A0CDC 0101
800A0CDE 0101
800A0CE0 0101
800A0CE2 0101
800A0CE4 0101
800A0CE6 0101
800A0CE8 0101
800A0CEA 0101
800A0CEC 0101
800A0CEE 0101
800A0CF0 0101
#Key / Documents System Item All (Set 4/4)
800A0CF2 0101
800A0CF4 0101
800A0CF6 0101
800A0CF8 0101
800A0CFA 0101
800A0CFC 0101
800A0CFE 0101
800A0D00 0101
800A0D02 0101
800A0D04 0101
#Food Item It Doesn't Decrease
D0042EE8 00FF
80042EE8 0000
#Esp It Doesn't Decrease
D0017706 0043
80017706 0040
D0017656 00A2
80017656 00A0
D0020E3E 0044
80020E3E 0040
#Supplement\New Japanese Plan
800A12A0 5690
800A12A2 FA93
800A12A4 7B96
800A12A6 E98A
800A12A8 E689
#Supplement\Asamiya
800A12B0 8396
800A12B2 7B8B
#Supplement\Mr. Queen
8009FF70 978F
8009FF72 A489
8009FF74 6C97
