#Infinite Money
80178D48 967F
80178D4A 0098
#Main character HP 999/999 / Stats 99
80177F04 03E7
80177F06 03E7
80177F08 6363
80177F18 6363
80177F16 6363
8017888E 6363
#Level 99-12 Character
8017888E 6363
801788AC 6363
801788CA 6363
801788E8 6363
80178906 6363
80178924 6363
80178942 6363
80178960 6363
8017897E 6363
8017899C 6363
801789BA 6363
801789D8 6363
#Infinite Hp-12 Character
80177F04 03E7
80177F30 03E7
80177F5C 03E7
80177F88 03E7
80177FB4 03E7
80177FE0 03E7
8017800C 03E7
80178038 03E7
80178064 03E7
80178090 03E7
801780BC 03E7
801780E8 03E7
#Max Hp-12 Character
80177F06 03E7
80177F32 03E7
80177F5E 03E7
80177F8A 03E7
80177FB6 03E7
80177FE2 03E7
8017800E 03E7
8017803A 03E7
80178066 03E7
80178092 03E7
801780BE 03E7
801780EA 03E7
#Infinite MP
B00C002C 0000
80177F18 6363
#Money 99999999 
80178D48 E0FF 
80178D4A 05F5 
#Blow deadly attack
D00C72F0 0101
80030930 0004
D00C72F0 0101
80030932 A440
D00C72F0 0102
80030930 0000
D00C72F0 0102
80030932 0000
D00C72F0 0103
80030930 0004
D00C72F0 0103
80030932 A451

