#Infinite Money 	
8011EE34 967F
8011EE36 0098
#Infinite Ap 	
D005DB04 0003
8005DB04 0006
D0057D4C 009C
80057D4E A204
#Infinite missile 
D0055758 001D 
8005575A A080 
#Does not decrease bullet 
D0055722 0062 
80055722 0060 
#1 Fight Rank S	
80057DF8 3390
80057E02 A466
#Infinite & Max Health 1st unit Hero
8011A4F6 03E7
8011A4F8 03E7
8011A556 03E7
8011A558 03E7
8011A586 03E7
8011A588 03E7
8011A526 03E7
8011A528 03E7
#Infinite & Max Health Emile Kramskoy	
8011A762 03E7
8011A764 03E7
8011A7C2 03E7
8011A7C4 03E7
8011A7F2 03E7
8011A7F4 03E7
8011A732 03E7
8011A734 03E7
#Infinite & Max Health Kusama Akirago	
8011A9CE 03E7
8011A9D0 03E7
8011AA2E 03E7
8011AA30 03E7
8011AA5E 03E7
8011AA60 03E7
8011A99E 03E7
8011A9A0 03E7
#Infinite & Max Health Dennis Vai cart	
8011AC34 03E7
8011AC36 03E7
8011AC94 03E7
8011AC96 03E7
8011ACC4 03E7
8011ACC6 03E7
8011AD04 03E7
8011AD06 03E7
#Infinite & Max Health Yoon Raiffeisen	
8011AEA6 03E7
8011AEA8 03E7
8011AF06 03E7
8011AF08 03E7
A8011AF36 03E7
8011AF38 03E7
8011AF66 03E7
8011AF68 03E7
#Infinite & Max Health Marcus Allen	
8011B856 03E7
8011B858 03E7
8011B8B6 03E7
8011B8B8 03E7
8011B8F6 03E7
8011B8F8 03E7
8011B936 03E7
8011B938 03E7
#Infinite & Max Health Alisa	
8011BAC2 03E7
8011BAC4 03E7
8011BB22 03E7
8011BB24 03E7
8011BB62 03E7
8011BB64 03E7
8011BBA2 03E7
8011BBA4 03E7
#Infinite & Max Health Liu Hai Phong	
8011BD2E 03E7
8011BD30 03E7
8011BD8E ??03E7
8011BD90 03E7
8011BDCE 03E7
8011BDD0 03E7
8011BE1E 03E7
8011BE20 03E7
#All Skills (Caetla Only)		
E0153CC0 00010007
80153CC4 00FF
80153CC6 2417
80153CC8 00CF
80153CCA A057
80153CCC 0001
80153CD0 1021
80153CD2 02E0

