#Infinite money
800A4A58 03E7
#Rivals money = 0
800A4A5C 0000
800A4A60 0000
800A4A64 0000
#Cg Galleries Mai
800A12EA 0101
800A12EC 0101
300A12EE 0001
#Cg Galleries Misa
300A12EF 0001
800A12F0 0101
800A12F2 0101
#Cg Galleries Satomi
800A12F4 0101
300A12F6 0001
#Cg Galleries Natsuko
300A12F9 0001
800A12FA 0101
800A12FC 0101
#Cg Galleries Ako
800A12FE 0101
800A1300 0101
#Cg Galleries Miho
300A1303 0001
800A1304 0101
800A1306 0101
#Cg Galleries Mako
800A1308 0101
800A130A 0101
#Cg Galleries Walnut
300A130D 0001
800A130E 0101
300A1310 0001
#Cg Galleries Hiromi
800A1312 0101
300A1314 0001
#Cg Galleries Yoshi
300A1317 0001
800A1318 0101
300A131A 0001
#Cg Galleries Chiharu
800A131C 0101
800A131E 0101
#Cg Galleries Reiko
300A1321 0001
800A1322 0101
300A1324 0001
#Cg Galleries Spring
800A1326 0101
800A1328 0101
300A132A 0001
#Cg Galleries Odor
300A132B 0001
800A132C 0101
800A132E 0101
