#Infinite Money (60000)
800A08E4 EA60
#Infinite Energy Players Character In Battle
800F04C2 03E7
#Infinite Mp Players Character In Battle
800F04C4 03E7
#Infinite Energy Players Character In Menu
800DD90A 03E7
800DD90E 03E7
#Infinite Mp Players Character In Menu
800DD90C 03E7
800DD910 03E7
#Second Character Infinite & Max HP
800DD972 03E7 
800DD974 03E7 
#Second Character Infinite & Max MP 
800DD976 03E7 
800DD978 03E7
#Third Character Infinite & Max HP 
800DD9DA 03E7 
800DD9DC 03E7 
#Third Character Infinite & Max MP 
800DD9DE 03E7 
800DD9E0 03E7
#Fourth Character Infinite & Max HP  
800DD942 03E7 
800DD944 03E7 
#Fourth Character Infinite & Max MP
800DD946 03E7 
800DD948 03E7
#Max intimacy Second Charcter and hero
800DD95E 005A 
#Max intimacy Third Charcter and hero 
800DD960 005A 
#Max intimacy Fourth Charcter and hero 
800DD962 005A 
